		LENGHT	DIAMETER	ROUGHNESS	FLOW	VELOCITY	UNITHEADLOSS	FRICTIONFACTOR
		m	mm		LPS	m/s	m/km	
2	00:00:00	8,90	100,00	0,10	14,21	1,81	35,59	0,02
3	00:00:00	75,00	75,00	0,10	0,00	0,00	0,00	0,00
4	00:00:00	800,00	75,00	0,10	0,00	0,00	0,00	0,00
5	00:00:00	2,70	75,00	0,10	0,00	0,00	0,00	0,00
6	00:00:00	5,00	75,00	0,10	0,00	0,00	0,00	0,00
7	00:00:00	1,00	75,00	0,10	0,00	0,00	0,00	0,00
8	00:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	00:00:00	1,18e+03	110,00	0,10	14,21	1,49	21,88	0,02
1	00:00:00	25,00	75,00	0,10	19,21	4,35	282,21	0,02
2	24:00:00	8,90	100,00	0,10	14,12	1,80	35,16	0,02
3	24:00:00	75,00	75,00	0,10	10,89	2,47	93,06	0,02
4	24:00:00	800,00	75,00	0,10	4,16	0,94	14,56	0,02
5	24:00:00	2,70	75,00	0,10	15,26	3,45	179,76	0,02
6	24:00:00	5,00	75,00	0,10	12,09	2,74	114,01	0,02
7	24:00:00	1,00	75,00	0,10	10,98	2,48	94,45	0,02
8	24:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	24:00:00	1,18e+03	110,00	0,10	14,12	1,49	21,61	0,02
1	24:00:00	25,00	75,00	0,10	19,12	4,33	279,63	0,02
2	48:00:00	8,90	100,00	0,10	0,00	0,00	0,00	0,00
3	48:00:00	75,00	75,00	0,10	10,91	2,47	93,33	0,02
4	48:00:00	800,00	75,00	0,10	4,16	0,94	14,58	0,02
5	48:00:00	2,70	75,00	0,10	17,57	3,98	236,94	0,02
6	48:00:00	5,00	75,00	0,10	0,00	0,00	0,00	0,00
7	48:00:00	1,00	75,00	0,10	5,39	1,22	23,90	0,02
8	48:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	48:00:00	1,18e+03	110,00	0,10	3,04e-05	3,19e-06	3,78e-08	8,00
1	48:00:00	25,00	75,00	0,10	3,04e-05	6,87e-06	2,57e-07	8,00
2	72:00:00	8,90	100,00	0,10	14,90	1,90	39,03	0,02
3	72:00:00	75,00	75,00	0,10	10,81	2,45	91,62	0,02
4	72:00:00	800,00	75,00	0,10	4,16	0,94	14,58	0,02
5	72:00:00	2,70	75,00	0,10	16,78	3,80	216,38	0,02
6	72:00:00	5,00	75,00	0,10	12,11	2,74	114,37	0,02
7	72:00:00	1,00	75,00	0,10	2,46	0,56	5,42	0,03
8	72:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	72:00:00	1,18e+03	110,00	0,10	14,90	1,57	23,98	0,02
1	72:00:00	25,00	75,00	0,10	14,90	3,37	171,47	0,02
2	96:00:00	8,90	100,00	0,10	14,12	1,80	35,17	0,02
3	96:00:00	75,00	75,00	0,10	10,89	2,46	92,97	0,02
4	96:00:00	800,00	75,00	0,10	4,15	0,94	14,52	0,02
5	96:00:00	2,70	75,00	0,10	16,71	3,78	214,65	0,02
6	96:00:00	5,00	75,00	0,10	12,70	2,88	125,54	0,02
7	96:00:00	1,00	75,00	0,10	5,17	1,17	22,10	0,02
8	96:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	96:00:00	1,18e+03	110,00	0,10	14,12	1,49	21,62	0,02
1	96:00:00	25,00	75,00	0,10	19,12	4,33	279,68	0,02
2	120:00:00	8,90	100,00	0,10	14,12	1,80	35,15	0,02
3	120:00:00	75,00	75,00	0,10	10,90	2,47	93,16	0,02
4	120:00:00	800,00	75,00	0,10	4,16	0,94	14,62	0,02
5	120:00:00	2,70	75,00	0,10	0,00	0,00	0,00	0,00
6	120:00:00	5,00	75,00	0,10	12,32	2,79	118,20	0,02
7	120:00:00	1,00	75,00	0,10	10,65	2,41	89,07	0,02
8	120:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	120:00:00	1,18e+03	110,00	0,10	14,12	1,49	21,61	0,02
1	120:00:00	25,00	75,00	0,10	19,12	4,33	279,58	0,02
2	144:00:00	8,90	100,00	0,10	14,87	1,89	38,91	0,02
3	144:00:00	75,00	75,00	0,10	10,89	2,46	92,96	0,02
4	144:00:00	800,00	75,00	0,10	4,17	0,94	14,63	0,02
5	144:00:00	2,70	75,00	0,10	0,00	0,00	0,00	0,00
6	144:00:00	5,00	75,00	0,10	11,33	2,57	100,50	0,02
7	144:00:00	1,00	75,00	0,10	11,28	2,55	99,66	0,02
8	144:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	144:00:00	1,18e+03	110,00	0,10	14,87	1,57	23,90	0,02
1	144:00:00	25,00	75,00	0,10	14,87	3,37	170,94	0,02
2	168:00:00	8,90	100,00	0,10	14,12	1,80	35,16	0,02
3	168:00:00	75,00	75,00	0,10	10,89	2,47	93,05	0,02
4	168:00:00	800,00	75,00	0,10	4,16	0,94	14,62	0,02
5	168:00:00	2,70	75,00	0,10	0,00	0,00	0,00	0,00
6	168:00:00	5,00	75,00	0,10	11,86	2,69	109,91	0,02
7	168:00:00	1,00	75,00	0,10	11,30	2,56	100,00	0,02
8	168:00:00	1,00	110,00	3,28e-04	0,00	0,00	0,00	0,00
9	168:00:00	1,18e+03	110,00	0,10	14,12	1,49	21,61	0,02
1	168:00:00	25,00	75,00	0,10	19,12	4,33	279,64	0,02
