		ELEVATION	BASEDEMAND	PRESSURE	HEAD	DEMAND
		m	LPS	m	m	LPS
2		00:00:00	2,03e+03	0,00	-1,28	2,03e+03	0,00
10		00:00:00	2,06e+03	-5,00	-0,58	2,05e+03	5,00
11	Embalse	00:00:00	2,06e+03	0,00	0,00	2,06e+03	-19,21
3	T1	00:00:00	2,03e+03	0,00	0,40	2,03e+03	14,21
4	T2	00:00:00	2,02e+03	0,00	0,50	2,02e+03	0,00
5	T3	00:00:00	2,01e+03	0,00	0,10	2,01e+03	0,00
6	T4	00:00:00	2,01e+03	0,00	0,50	2,01e+03	0,00
7	T5	00:00:00	2,01e+03	0,00	0,10	2,01e+03	0,00
8	T6	00:00:00	2,01e+03	0,00	0,20	2,01e+03	0,00
9	Estanque de Almacenamiento	00:00:00	2,01e+03	0,00	1,20	2,01e+03	0,00
2		24:00:00	2,03e+03	0,00	-0,91	2,03e+03	0,00
10		24:00:00	2,06e+03	-5,00	-0,51	2,05e+03	5,00
11	Embalse	24:00:00	2,06e+03	0,00	0,00	2,06e+03	-19,12
3	T1	24:00:00	2,03e+03	0,00	0,78	2,03e+03	3,22
4	T2	24:00:00	2,02e+03	0,00	1,80	2,02e+03	6,74
5	T3	24:00:00	2,01e+03	0,00	0,15	2,01e+03	-11,11
6	T4	24:00:00	2,01e+03	0,00	0,66	2,01e+03	3,17
7	T5	24:00:00	2,01e+03	0,00	0,59	2,01e+03	1,11
8	T6	24:00:00	2,01e+03	0,00	1,00	2,01e+03	10,98
9	Estanque de Almacenamiento	24:00:00	2,01e+03	0,00	1,20	2,01e+03	0,00
2		48:00:00	2,03e+03	0,00	31,48	2,06e+03	0,00
10		48:00:00	2,06e+03	-5,00	6,48	2,06e+03	0,00
11	Embalse	48:00:00	2,06e+03	0,00	0,00	2,06e+03	-3,04e-05
3	T1	48:00:00	2,03e+03	0,00	0,80	2,03e+03	-10,91
4	T2	48:00:00	2,02e+03	0,00	1,80	2,02e+03	6,75
5	T3	48:00:00	2,01e+03	0,00	0,14	2,01e+03	-13,41
6	T4	48:00:00	2,01e+03	0,00	0,50	2,01e+03	17,57
7	T5	48:00:00	2,01e+03	0,00	0,52	2,01e+03	-5,39
8	T6	48:00:00	2,01e+03	0,00	1,00	2,01e+03	5,39
9	Estanque de Almacenamiento	48:00:00	2,01e+03	0,00	1,20	2,01e+03	0,00
2		72:00:00	2,03e+03	0,00	-0,98	2,03e+03	0,00
10		72:00:00	2,06e+03	-5,00	2,19	2,06e+03	0,00
11	Embalse	72:00:00	2,06e+03	0,00	0,00	2,06e+03	-14,90
3	T1	72:00:00	2,03e+03	0,00	0,67	2,03e+03	4,09
4	T2	72:00:00	2,02e+03	0,00	1,80	2,02e+03	6,65
5	T3	72:00:00	2,01e+03	0,00	0,13	2,01e+03	-12,62
